sensor_0,sensor_1,sensor_2,angle
1430802,2087086,1551057,0
1455911,2138408,1556609,20
1525408,2350695,1641848,40
1450539,2115891,1577330,60
1462667,2162498,1531984,80
1451164,2109614,1574370,100
1463342,2185783,1569211,120
1445059,2180236,1583684,140
1450004,2077464,1575529,160
1439973,2015299,1559738,180
1448766,2014443,1567363,200
1470351,2053776,1572677,220
1501333,1998291,1547791,240
1452318,2114258,1588407,260
1567635,2128453,1651966,280
1503280,2223618,1624831,300
1448817,2222874,1576029,320
1443904,2110707,1578699,340
1434712,2147152,1567799,360
